Size (Kb),Time (s),Throughput (Kb/s)
0.052,0.000810689,64.14296975
0.003,0.00083801,3.579909548
4.567,0.001279437,3569.538789
0.32,0.000849462,376.7090229
0.006,0.000796623,7.531793584
1.078,0.000877013,1229.172202
0.002,0.000778819,2.567990766
0.202,0.000779691,259.0769933
0.008,0.000858398,9.319686206
1.813,0.001014271,1787.49072
0.001,0.001947649,0.5134395366
1.194,0.000947194,1260.565417
2.194,0.001016895,2157.548223
0.003,0.000776465,3.86366417
6.393,0.001416614,4512.873655
0.069,0.000791272,87.20136691
0.4,0.000825257,484.6974942
0.081,0.000820047,98.77482632
0.001,0.000775603,1.289319407
0.001,0.000787345,1.270091256
0.005,0.000796652,6.276266174
1.558,0.000961001,1621.226201
0.613,0.000859571,713.1464417
0.003,0.00078451,3.824043033
0.938,0.000886881,1057.639074
0.345,0.00154286,223.610697
0.004,0.00077963,5.130638893
0.003,0.000766436,3.914221148
14.347,0.002901857,4944.075466
0.027,0.00077936,34.64381031
1.749,0.00096651,1809.603625
0.931,0.000863107,1078.661163
0.164,0.000813084,201.7011772
0.037,0.000784159,47.18430828
0.003,0.000778458,3.853772458
0.004,0.000855011,4.678302384
0.017,0.000884216,19.22607146
0.001,0.000822782,1.215388766
0.026,0.000994844,26.13475077
0.028,0.000807373,34.68037698
0.001,0.00080597,1.240740971
0.002,0.000853318,2.343792115
0.04,0.000845995,47.28160332
1.27,0.000920765,1379.287875
0.05,0.000775813,64.44852046
0.002,0.000794328,2.517851568
0.028,0.000765845,36.5609229
0.056,0.000811982,68.96704607
2.302,0.001032705,2229.09737
0.003,0.000782957,3.831628046
0.037,0.000791512,46.74597479
2.102,0.001079543,1947.120217
0.001,0.000766917,1.303922067
3.149,0.00109936,2864.393829
0.003,0.00079023,3.796363084
0.929,0.000891971,1041.513681
1.31,0.000920345,1423.379276
2.894,0.001080194,2679.148375
0.001,0.000781685,1.279287693
0.009,0.000791834,11.36601864
3.824,0.001199286,3188.563862
0.001,0.000796533,1.255440766
0.669,0.00087032,768.6827833
0.08,0.000799107,100.1117497
0.455,0.000838431,542.680316
3.239,0.001125338,2878.246358
3.113,0.001142511,2724.700244
0.428,0.000833321,513.6076014
0.017,0.000764823,22.22736502
0.021,0.000804296,26.10979043
0.003,0.000774932,3.871307418
0.342,0.000815027,419.6180004
0.02,0.000788257,25.37243564
0.532,0.000822701,646.6504842
0.065,0.000791012,82.17321608
0.003,0.001538643,1.949770025
0.003,0.000766286,3.914987355
3.705,0.001159042,3196.605472
0.007,0.000781003,8.962833689
0.006,0.000758892,7.906263342
0.347,0.000745417,465.5112507
0.002,0.000766035,2.610846763
0.005,0.001674387,2.986167475
0.024,0.000769862,31.17441827
0.012,0.000783388,15.31807993
0.002,0.000786584,2.542640074
3.309,0.00114232,2896.736466
0.081,0.000935963,86.54188253
0.119,0.000779561,152.6500171
1.663,0.00099267,1675.279801
0.006,0.000760956,7.88481857
0.003,0.000749164,4.004463642
1.062,0.00088054,1206.078088
0.002,0.000788086,2.537794099
3.851,0.001249501,3082.030347
0.009,0.0007741,11.62640486
0.001,0.000814806,1.227286004
0.012,0.000767859,15.62786918
0.003,0.000787726,3.80843085
0.072,0.000781805,92.09457601
2.845,0.001075515,2645.244371
0.005,0.00077907,6.417908532
0.013,0.000764382,17.0072032
1.057,0.00088598,1193.029188
0.772,0.00085919,898.5206997
0.006,0.000737862,8.131601844
0.003,0.000749284,4.003822316
1.122,0.000888054,1263.436683
0.859,0.000866894,990.8939271
0.237,0.000777657,304.7616108
3.465,0.001047493,3307.898
0.011,0.000817041,13.46321666
0.734,0.000936745,783.5643638
7.516,0.001529035,4915.518611
0.981,0.001546197,634.4599039
1.288,0.000939079,1371.5566
0.001,0.000760194,1.315453687
0.001,0.000763651,1.309498711
1.453,0.000942035,1542.405537
0.37,0.000865231,427.6314649
0.038,0.000821309,46.26760452
0.173,0.000863829,200.2711185
0.001,0.000756036,1.322688338
0.001,0.000775473,1.289535548
0.191,0.000826378,231.1290959
0.007,0.000793788,8.818475462
0.829,0.00088611,935.5497624
0.251,0.001684666,148.9909573
0.17,0.000806521,210.7818643
2.545,0.001053233,2416.369407
0.001,0.000858499,1.164823721
0.003,0.00080055,3.747423646
1.094,0.000904284,1209.796922
1.384,0.000952585,1452.888719
0.001,0.000787025,1.270607668
0.898,0.000885038,1014.645699
0.28,0.000810689,345.3852217
1.573,0.001004221,1566.388275
0.006,0.000824785,7.274623084
0.017,0.000812994,20.91036342
0.019,0.000809086,23.48328855
0.721,0.000905807,795.9753016
0.002,0.000853338,2.343737183
0.062,0.000815187,76.05616871
0.002,0.000828201,2.414872718
0.006,0.000807393,7.431325265
0.001,0.000949769,1.052887597
0.017,0.00087561,19.41503637
0.343,0.000825767,415.3714062
2.063,0.001038235,1987.026059
0.003,0.000781624,3.838162595
2.534,0.000914113,2772.086164
0.007,0.000833322,8.400114242
0.004,0.000780883,5.122406302
0.945,0.000929411,1016.772988
1.944,0.001011014,1922.822038
0.001,0.001472799,0.6789792769
0.004,0.000941895,4.246757866
3.234,0.001116462,2896.650311
0.003,0.000807794,3.713818127
0.001,0.000907991,1.101332502
0.002,0.000790952,2.528598448
0.058,0.00083818,69.19754707
0.42,0.000885619,474.2445679
3.648,0.001248549,2921.791616
0.034,0.000792114,42.9231146
2.012,0.001042593,1929.803864
0.007,0.000787245,8.891768128
1.337,0.000922579,1449.198388
0.117,0.00080607,145.1486844
0.012,0.000808215,14.84753438
0.089,0.000797905,111.5421009
0.001,0.000821749,1.216916601
0.568,0.000845814,671.5424431
0.428,0.000820096,521.8901202
0.01,0.000769091,13.00236253
0.346,0.000781374,442.8097172
0.063,0.000786364,80.11556989
0.005,0.000805168,6.209884148
0.451,0.00085399,528.1092284
0.188,0.00090723,207.2241879
1.035,0.001026093,1008.6805
2.228,0.00107244,2077.505501
0.084,0.000819515,102.4996492
0.557,0.000988372,563.5529942
1.595,0.001535106,1039.016198
0.221,0.000842568,262.2933698
0.041,0.000792585,51.7294675
1.922,0.001039719,1848.576394
2.729,0.00108284,2520.224595
2.724,0.001106906,2460.913574
0.965,0.001368145,705.3345954
0.001,0.000814447,1.22782698
8.884,0.001740243,5105.034182
1.87,0.000985238,1898.01855
0.001,0.000851677,1.174154051
13.55,0.002004749,6758.950871
0.361,0.000812293,444.4209171
2.639,0.001054617,2502.33023
0.06,0.000774662,77.4531344
0.003,0.000804088,3.730934923
2.352,0.001073594,2190.772303
0.291,0.00175477,165.833699
0.001,0.000776596,1.28767081
4.755,0.001299626,3658.7449
0.001,0.00084233,1.18718317
0.042,0.000855624,49.08698213
0.002,0.000765946,2.611150133
0.001,0.00082638,1.21009705
0.003,0.000855824,3.505393632
0.296,0.000667792,443.251791
3.104,0.001234545,2514.28664
0.115,0.000898855,127.9405466
5.347,0.001334943,4005.414463
0.001,0.000812694,1.230475431
0.451,0.000873729,516.1783574
0.002,0.000745959,2.681112501
0.019,0.000816251,23.27715372
0.206,0.000780082,264.0748024
0.29,0.000911399,318.192142
0.043,0.000861395,49.9190267
0.001,0.000786905,1.270801431
0.003,0.000804509,3.728982522
0.718,0.000882535,813.5654677
0.001,0.000841798,1.187933447
0.007,0.000776656,9.01299932
0.001,0.000841197,1.188782176
0.002,0.000838382,2.3855474
0.008,0.000825889,9.686531725
0.009,0.000938269,9.592131894
0.001,0.000737653,1.355650963
4.74,0.001220028,3885.156734
0.002,0.000817984,2.4450356
0.117,0.000841358,139.0608992
0.006,0.000829625,7.232183215
0.043,0.000833873,51.56660547
0.025,0.000829927,30.12313131
0.022,0.000824937,26.66870319
0.545,0.0010398,524.1392575
0.261,0.000899406,290.1915264
0.002,0.000798427,2.504925309
0.008,0.000901029,8.878737532
0.003,0.000801152,3.744607765
0.09,0.000867947,103.6929674
0.001,0.00074645,1.339674459
1.64,0.000962836,1703.301497
0.01,0.001022848,9.776623702
0.221,0.000855204,258.4178746
2.181,0.001100874,1981.153156
0.045,0.00084278,53.39471748
1.313,0.000955632,1373.959851
0.012,0.001093791,10.97101732
0.004,0.000786464,5.086056069
0.005,0.00084274,5.93302798
0.737,0.00101356,727.1399818
0.085,0.000951655,89.31808271
0.004,0.000967684,4.133580797
0.128,0.000802615,159.478704
0.006,0.000938219,6.395095388
0.028,0.001046212,26.76321816
0.001,0.000907631,1.101769331
0.015,0.000808355,18.55620365
0.125,0.001770299,70.6095411
0.022,0.000808807,27.20055588
0.001,0.000891251,1.122018376
0.002,0.000907481,2.203902892
1.565,0.001030062,1519.326021
0.008,0.000753724,10.61396479
0.003,0.001516534,1.978195016
0.614,0.000832992,737.1019169
9.838,0.002203902,4463.900845
0.005,0.000803095,6.225913497
0.871,0.000893645,974.6599601
2.989,0.001173741,2546.558397
0.84,0.000868318,967.3875239
0.006,0.000780303,7.689320687
0.024,0.000768651,31.22353318
1.213,0.000890881,1361.573543
0.012,0.000774853,15.48680847
0.002,0.000789631,2.532828625
0.514,0.000920025,558.6804706
0.045,0.000919534,48.93783155
1.114,0.000962535,1157.360512
0.068,0.000832251,81.70611991
0.001,0.000873749,1.144493441
0.068,0.000816782,83.25354868
0.189,0.000780574,242.1295098
0.477,0.000856316,557.0373554
2.533,0.001052684,2406.23017
2.693,0.001091677,2466.846879
0.003,0.001569392,1.911568302
0.09,0.000779742,115.4227937
0.108,0.000801593,134.7317155
0.018,0.00079512,22.63809236
5.401,0.001587336,3402.556233
0.378,0.000819788,461.0948196
0.357,0.000870853,409.9428951
0.008,0.000812954,9.840655191
1.642,0.000971041,1690.968764
1.298,0.000896481,1447.883446
0.711,0.000876483,811.1965663
0.02,0.001751575,11.41829496
0.713,0.000848341,840.4639172
0.001,0.000796724,1.255139797
0.445,0.00084799,524.7703393
2.293,0.001060719,2161.741234
0.003,0.000765095,3.921081696
0.002,0.000784841,2.54828685
0.947,0.000878206,1078.334696
0.026,0.000812564,31.99747958
0.011,0.000785893,13.99681636
0.683,0.000890409,767.063226
2.942,0.001108909,2653.058096
0.003,0.000776466,3.863659194
0.527,0.000856967,614.9595025
0.001,0.000870232,1.149118856
5.815,0.0013866,4193.711236
1.233,0.000908213,1357.611045
0.011,0.000776025,14.17480107
0.001,0.00077366,1.292557454
1.709,0.000959489,1781.156428
0.216,0.00086386,250.0405158
0.847,0.000955321,886.6129814
0.055,0.000788548,69.74844905
0.007,0.000756779,9.249728124
0.005,0.001646637,3.036491953
0.003,0.000796354,3.767168872
0.254,0.00079447,319.7099953
0.019,0.000804769,23.6092593
1.162,0.000908965,1278.377055
0.051,0.000786594,64.83649761
0.868,0.000878057,988.5463017
0.001,0.000781556,1.279498846
0.001,0.001618104,0.618007248
0.129,0.000815319,158.2202794
13.793,0.002094017,6586.86152
1.091,0.000962985,1132.935612
0.001,0.000926949,1.078808003
0.015,0.00083182,18.03274747
0.004,0.000865262,4.622877233
0.093,0.000840766,110.6134168
0.002,0.000872987,2.29098486
1.323,0.000985639,1342.276432
0.444,0.000856307,518.5056294
3.69,0.001218455,3028.425342
0.038,0.00079485,47.80776247
0.003,0.000818846,3.663692562
0.397,0.000823144,482.2971436
0.037,0.000774383,47.77997451
0.002,0.000786485,2.542960133
9.753,0.001840742,5298.406838
0.008,0.000814517,9.821771676
0.001,0.000787066,1.270541479
0.163,0.000849744,191.8224783
0.004,0.000788609,5.072222102
1.227,0.000909546,1349.024678
0.068,0.000773201,87.94608388
0.001,0.00078382,1.275803118
0.042,0.000885982,47.40502629
8.358,0.002320663,3601.556969
0.476,0.000829696,573.7041037
0.466,0.000806202,578.0189084
0.753,0.001451171,518.8912954
0.001,0.000775154,1.290066232
0.016,0.000760807,21.03030072
1.099,0.000926998,1185.547326
0.449,0.000866235,518.3350938
2.22,0.00107691,2061.453603
1.062,0.000931587,1139.990146
0.066,0.000810971,81.38392125
