Size (Kb),Time (s),Throughput (Kb/s)
0.032,0.000759446,42.13597807
0.044,0.000799772,55.01567947
0.025,0.000726254,34.42321832
0.036,0.000783841,45.92768176
0.02,0.000781737,25.58405193
0.016,0.000780725,20.49377181
0.068,0.000869813,78.17772326
0.023,0.000958249,24.00211219
0.074,0.000753575,98.19858674
0.021,0.000765998,27.41521518
0.064,0.000778262,82.23451742
0.053,0.000909457,58.27653204
0.038,0.000750749,50.61611804
0.021,0.00075116,27.95676021
0.021,0.000734188,28.60302811
0.028,0.000770366,36.34636004
0.017,0.000742874,22.88409609
0.02,0.000747323,26.76218984
0.039,0.000767811,50.79375002
0.018,0.000751681,23.9463283
0.023,0.000737354,31.19261576
0.019,0.000791586,24.00244572
0.019,0.000760698,24.97706054
0.016,0.000712748,22.44832676
0.053,0.000764556,69.32127928
0.047,0.000767561,61.2329183
0.073,0.000746532,97.78549346
0.079,0.00072975,108.2562521
0.03,0.00071856,41.750167
0.019,0.000746051,25.46742783
0.042,0.000739869,56.76680602
0.024,0.000844716,28.41191596
0.029,0.00076158,38.07873106
0.047,0.000796746,58.98994159
0.025,0.00074539,33.53948939
0.052,0.000745219,69.77814575
0.02,0.000738586,27.07876943
0.024,0.000741242,32.37808975
0.026,0.000762311,34.10681467
0.028,0.000863622,32.42159185
0.022,0.00077233,28.485233
0.026,0.000827884,31.40536597
0.022,0.000762462,28.85389698
0.066,0.000789963,83.54821682
0.021,0.000775977,27.06265778
0.032,0.000752093,42.54792958
0.022,0.00073488,29.93686044
0.036,0.000725242,49.63860339
0.024,0.00072957,32.89608948
0.035,0.000776508,45.07358585
0.02,0.000755769,26.46311241
0.047,0.00076714,61.26652241
0.033,0.00074558,44.26084391
0.063,0.000723358,87.09380417
0.031,0.000793479,39.06845676
0.032,0.000796205,40.19065442
0.034,0.000775276,43.85534958
0.036,0.000781438,46.06891398
0.019,0.000775496,24.50044875
0.023,0.000749567,30.68438178
0.025,0.000838795,29.80466026
0.018,0.000746121,24.12477333
0.019,0.000725312,26.1956234
0.046,0.000747794,61.5142673
0.031,0.000841279,36.84865544
0.043,0.000744658,57.74462908
0.019,0.000754557,25.1803376
0.038,0.000743677,51.09745225
0.046,0.00077766,59.15181442
0.026,0.000872348,29.80461926
0.023,0.000774314,29.70371193
0.028,0.000743526,37.65840065
0.04,0.000733467,54.53551421
0.017,0.000716345,23.73158185
0.016,0.000744919,21.47884535
0.13,0.000791006,164.3476788
0.07,0.000786938,88.95236982
0.026,0.000790725,32.88121661
0.123,0.000753023,163.3416244
0.02,0.000875654,22.84007154
0.102,0.000773592,131.8524494
0.021,0.000790935,26.55085437
0.019,0.000872068,21.78729182
0.037,0.0008042,46.00845561
0.026,0.000724801,35.87191519
0.051,0.000746441,68.3242212
0.024,0.00073006,32.87401036
0.02,0.000753214,26.55287873
0.037,0.000751962,49.20461406
0.02,0.000757883,26.38929756
0.021,0.000763573,27.50228203
0.023,0.000763283,30.1329913
0.021,0.000758504,27.6860768
0.058,0.000795433,72.9162607
0.036,0.000755168,47.6715115
0.018,0.0007297,24.66767165
0.047,0.0007989,58.83089248
0.022,0.000719772,30.56523455
0.021,0.000801003,26.21713027
0.041,0.000752593,54.47831697
0.062,0.00072429,85.60107139
0.036,0.000785625,45.82338902
0.018,0.000770987,23.34669716
0.024,0.000739418,32.45796018
0.021,0.000824037,25.48429257
0.021,0.000759626,27.64518329
0.032,0.00074558,42.91960621
0.026,0.000743867,34.95248479
0.017,0.000758614,22.40928852
0.021,0.000744368,28.2118522
0.028,0.000730812,38.31354712
0.057,0.000714482,79.77807698
0.02,0.000748705,26.71279075
0.029,0.0007401,39.18389407
0.019,0.000781928,24.29891243
0.055,0.000769855,71.4420248
0.017,0.000763414,22.2683891
0.025,0.000744869,33.56294865
0.017,0.000737965,23.03632286
0.028,0.000844285,33.16415665
0.054,0.000781608,69.08834096
0.025,0.000746611,33.48463926
0.018,0.000731613,24.60317135
0.027,0.000769885,35.07017282
0.045,0.000815421,55.18621669
0.02,0.000743796,26.88909325
