Size (Kb),Time (s),Throughput (Kb/s)
0.019,0.000732294,25.94586327
0.339,0.000868389,390.3780449
0.005,0.000713409,7.008602359
0.084,0.000774604,108.4425074
0.014,0.00078311,17.8774374
0.005,0.000718088,6.962934905
6.484,0.001163023,5575.126201
0.01,0.000737274,13.56347844
0.161,0.000729058,220.8329104
0.006,0.000713539,8.40879055
4.22,0.001093062,3860.714214
0.16,0.000727024,220.0752657
0.104,0.000723357,143.7740977
0.004,0.000716254,5.584611046
0.018,0.000723127,24.89189313
0.503,0.000792768,634.4857512
0.215,0.000759756,282.9855901
0.005,0.000696708,7.176607704
0.016,0.00075108,21.30265751
0.118,0.000733266,160.9238666
0.038,0.000675869,56.22391321
0.008,0.000728006,10.98892042
0.007,0.000725481,9.648770953
0.325,0.000740219,439.0592514
0.049,0.000696597,70.34196243
0.008,0.000734769,10.88777561
0.644,0.000745168,864.2346424
0.006,0.00070339,8.530118426
0.004,0.000720763,5.549674442
0.148,0.00072992,202.7619465
0.011,0.000718198,15.3161106
0.171,0.000726323,235.4324453
0.006,0.0007248,8.278145695
0.051,0.000721003,70.73479583
0.005,0.000699172,7.151316128
0.03,0.000759386,39.50560058
0.091,0.000699823,130.0328797
0.004,0.000716114,5.585702835
0.007,0.000722937,9.682724774
0.013,0.000835368,15.56200381
0.109,0.000704873,154.6377858
0.004,0.000757041,5.283729679
0.011,0.000769344,14.29789535
0.004,0.000745288,5.367052737
0.008,0.000753244,10.62072848
0.073,0.000708931,102.9719394
0.007,0.000746351,9.378965125
2.586,0.000942198,2744.64603
0.366,0.000864432,423.3994114
0.007,0.000730662,9.580353159
0.078,0.000719691,108.3798464
0.116,0.000712818,162.7343866
0.023,0.00074057,31.05715868
0.011,0.000719901,15.27987876
0.004,0.000755478,5.294661128
0.016,0.000759496,21.06660206
0.068,0.000674666,100.7906134
0.622,0.000821442,757.2050126
0.003,0.000748415,4.008471236
0.82,0.000821181,998.5618274
0.111,0.000716274,154.9686293
0.019,0.000742103,25.60291496
0.38,0.000717427,529.6706146
0.018,0.000709772,25.36025653
0.042,0.000756329,55.53138912
0.013,0.000722706,17.98795084
0.053,0.000782629,67.72046525
0.004,0.000726814,5.503471315
0.003,0.000754456,3.97637503
0.004,0.000729088,5.48630618
0.098,0.00071931,136.2416761
0.022,0.000719059,30.59554223
0.006,0.000711155,8.43697928
0.048,0.000799069,60.06990635
0.348,0.00075655,459.9828167
0.04,0.000736041,54.34479873
1.987,0.000873339,2275.176077
0.013,0.000716304,18.14871898
0.037,0.000749948,49.33675401
0.044,0.00073015,60.26159008
0.028,0.000754025,37.13404728
0.004,0.000778511,5.138013464
0.021,0.000721935,29.08849135
0.018,0.000747883,24.06793576
0.232,0.000696017,333.3251918
1.066,0.000818266,1302.75485
0.041,0.000763754,53.68220657
0.009,0.00074095,12.14656859
0.231,0.000741862,311.3786661
0.036,0.000727916,49.45625594
0.007,0.000785224,8.914653653
0.006,0.000731964,8.197124449
0.063,0.000724079,87.00708072
0.008,0.000729168,10.97140851
0.007,0.000711946,9.832206375
0.009,0.000709582,12.68352354
0.007,0.000726643,9.633341269
0.006,0.00069302,8.657758795
0.009,0.000742924,12.11429433
0.24,0.000833124,288.0723638
0.025,0.000769514,32.4880379
0.005,0.000766258,6.525217355
0.016,0.000758123,21.10475477
0.02,0.000729499,27.41607596
0.038,0.000761649,49.89174804
0.449,0.000787207,570.3709444
0.114,0.000768202,148.3984681
0.014,0.000699633,20.01049121
0.004,0.000732835,5.458254587
0.015,0.000750068,19.99818683
0.458,0.000757341,604.7473991
0.039,0.000632036,61.7053459
0.025,0.000729068,34.29035426
0.007,0.000726774,9.631604873
0.028,0.000736773,38.00356419
0.009,0.000712868,12.62505822
0.004,0.000742664,5.386015749
0.011,0.000744097,14.78301888
0.009,0.00073005,12.32792275
2.931,0.001021036,2870.613769
0.032,0.000742333,43.10733862
0.038,0.000742513,51.17755514
0.358,0.000983646,363.9520722
0.089,0.000731573,121.6556653
0.005,0.000760397,6.575512528
