Size (Kb),Time (s),Throughput (Kb/s)
431.749,0.033413765,12921.29157
4.208,0.00125705,3347.519987
96.192,0.008207976,11719.33251
14.289,0.001968234,7259.807523
930.632,0.069774861,13337.64033
185.871,0.016390633,11340.07454
352.909,0.026887485,13125.40016
440.597,0.033325368,13221.06931
3169.76,0.233940755,13549.4134
73.669,0.006278495,11733.54442
3850.964,0.283522727,13582.55841
545.715,0.041095893,13279.06416
0.012,0.000903867,13.27628954
691.579,0.052683182,13127.1304
0.001,0.000906121,1.103605368
444.506,0.03476984,12784.24059
948.26,0.071195006,13319.19264
5.023,0.001370262,3665.722322
1042.697,0.078372388,13304.39236
1753.558,0.129463371,13544.81956
0.509,0.001006379,505.7736698
1296.607,0.095565538,13567.72564
259.709,0.020174817,12872.92965
20.01,0.002514951,7956.417441
2231.66,0.16737608,13333.20747
0.001,0.000951736,1.050711542
0.278,0.000957998,290.1884973
0.003,0.000696136,4.309502741
4761.917,0.348090705,13680.10387
791.654,0.059818243,13234.32385
1.619,0.001134689,1426.82268
1254.358,0.093536139,13410.41028
0.001,0.000837241,1.194399223
9.39,0.001681065,5585.744751
212.422,0.017367006,12231.3541
0.314,0.00080446,390.323944
267.761,0.020003906,13385.43582
1.693,0.000955584,1771.691447
868.431,0.06440359,13484.20173
246.839,0.018933466,13037.17977
857.822,0.063766844,13452.47696
638.712,0.046891121,13621.17148
2014.047,0.145353666,13856.18303
162.736,0.013646713,11924.92287
0.022,0.000802356,27.41925031
361.43,0.027558866,13114.83571
0.027,0.000805201,33.53200008
1416.389,0.10322831,13720.93566
256.295,0.019412385,13202.65387
1.483,0.000934544,1586.870174
0.636,0.000870745,730.4090176
915.799,0.067280169,13611.72265
133.971,0.011724587,11426.50057
161.906,0.012492497,12960.25927
165.166,0.012686782,13018.7466
471.017,0.035172255,13391.72026
2066.811,0.152131227,13585.71176
1322.01,0.096464095,13704.68463
2846.034,0.206407558,13788.41951
350.008,0.027194452,12870.56639
159.857,0.012772683,12515.53804
0.444,0.001042927,425.7249069
745.081,0.058241965,12792.85477
937.361,0.068324789,13719.19348
201.724,0.0158079,12760.96129
1103.357,0.081578716,13525.05965
1094.062,0.081892064,13359.80493
162.539,0.012859826,12639.28454
878.481,0.066187277,13272.65662
0.002,0.000844074,2.369460498
0.028,0.000849755,32.95067402
440.968,0.032691519,13488.75835
0.003,0.000899398,3.335564455
478.855,0.036407113,13152.78693
0.294,0.000833764,352.6177671
39.944,0.004214189,9478.454811
2354.281,0.175333916,13427.41355
0.714,0.000865615,824.847074
275.739,0.021195552,13009.2861
0.19,0.000753996,251.9907267
950.777,0.070495674,13487.02617
1.611,0.000983696,1637.701078
241.498,0.018937124,12752.62284
911.39,0.066851645,13633.02279
1782.476,0.130519614,13656.76733
141.659,0.012078861,11727.84421
353.536,0.02713481,13028.87324
851.317,0.06379114,13345.37994
643.143,0.04855307,13246.18608
1151.621,0.084381126,13647.85059
1970.904,0.144257429,13662.40903
1627.888,0.11992588,13574.11761
429.409,0.032938152,13036.82732
1910.045,0.141211992,13526.08212
460.721,0.034741157,13261.533
624.336,0.046561242,13408.92066
22.989,0.002842295,8088.182261
4.671,0.001599762,2919.809322
2090.159,0.152681229,13689.69201
586.843,0.046050543,12743.45451
612.686,0.04636896,13213.27888
1753.517,0.130753362,13410.87505
647.516,0.048201199,13433.60774
0.012,0.000833905,14.39012837
0.001,0.000829006,1.206263887
0.003,0.000848563,3.535388651
3.231,0.001435765,2250.368271
3.151,0.001292606,2437.711105
580.619,0.043510154,13344.44829
438.214,0.033616916,13035.52057
0.02,0.000808988,24.72224557
176.483,0.013768422,12817.95401
1037.872,0.076781282,13517.25281
3.425,0.001186587,2886.429735
748.59,0.056510846,13246.83761
132.438,0.010722916,12350.93141
0.05,0.000796495,62.77503311
